INFOCODE,TICKER,DSMNEM,SEDOL,DSQTNAME,DSCMPYNAME,TYPECODE,PRIMARYEXCHANGEMIC,PRIMARYEXCHANGENAME,CURRENCY,STATUSCODE,ISACTIVE,LISTINGSTARTDATE,DELISTDATE
67410,TLRDQ,@TLRDQ,BZ8FLW0,TAILORED BRANDS DEAD - DELIST.03/12/20,TAILORED BRANDS INCO.,EQ,PINI,OTC Pink No Inform,USD,D,False,1992-04-15T00:00:00,2020-12-03T00:00:00
67411,OFIX,@OFIX,BGGJFT6,ORTHOFIX MEDICAL,ORTHOFIX MEDICAL INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1992-04-24T00:00:00,
67412,MEDQ,@MEDQ,2579843,MEDQUIST DEAD - MERGER 74655U,MEDQUIST INCO.,EQ,OTCB,OTCQB US Registered,USD,D,False,1992-05-05T00:00:00,2011-10-19T00:00:00
67415,KSS,U:KSS,2496113,KOHL'S,KOHL'S CORP.,EQ,XNYS,New York SE,USD,A,True,1992-05-19T00:00:00,
67416,MEOH,@MEOH,2654416,METHANEX (NAS),METHANEX CORP.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1992-05-19T00:00:00,
67419,DWCH,@DWCH,2783923,DATAWATCH DEAD - DELIST.14/12/18,DATAWATCH CORP.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,D,False,1992-05-28T00:00:00,2018-12-14T00:00:00
67432,VNDA,@VNDA,B12W3P6,VANDA PHARMACEUTICALS,VANDA PHARMS.INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,2006-04-12T00:00:00,
67433,PSID,@PSID,BZ2YSN3,POSITIVEID DEAD - DELIST.27/03/20,POSITIVEID CORP.,EQ,PINI,OTC Pink No Info,USD,D,False,2007-02-09T00:00:00,2020-03-27T00:00:00
67434,WAYS,@WAYS,BL987W2,WAVE SYNC,WAVE SYNC CORP.,EQ,EXPM,OTC Expert Mkt,USD,A,True,1992-08-20T00:00:00,
67435,GEOR,@GEOR,B0WDK73,GEOPETRO RESOURCES DEAD - DELIST.05/10/21,GEOPETRO RESOURCES CO.,EQ,EXPM,OTC Expert Mkt,USD,D,False,2006-02-22T00:00:00,2021-10-05T00:00:00
67439,EFII,@EFII,2310202,ELTN.FOR IMAG. DEAD - DELIST.23/07/19,ELTN.FOR IMAG.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1992-10-02T00:00:00,2019-07-23T00:00:00
67440,INMD,@INMD,2312297,INTEGRAMED AM. DEAD - DELIST 01/10/12,INTEGRAMED AM.INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,D,False,1992-10-08T00:00:00,2012-10-01T00:00:00
67443,RDN,U:RDN,2173911,RADIAN GP.,RADIAN GROUP INCO.,EQ,XNYS,New York SE,USD,A,True,1992-10-30T00:00:00,
67444,ZOLT,@ZOLT,2989914,ZOLTEK COMPANIES DEAD - DELIST.03/03/14,ZOLTEK COS.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1992-11-06T00:00:00,2014-03-03T00:00:00
67445,CPSS,@CPSS,2223872,CONSUMER PRTF.SVS.,CONSUMER PRTF.SVS.INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,1992-10-22T00:00:00,
67453,MGYR,@MGYR,BNTBJH4,MAGYAR BANCORP,MAGYAR BANCORP INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,2006-01-24T00:00:00,
67454,SHFL,@SHFL,B7FKRT1,SHFL ENTERTAINMENT DEAD - ACQD.BY 982275,SHFL ENTERTAINMENT INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1992-12-08T00:00:00,2013-11-26T00:00:00
67455,UVE,U:UVE,2912374,UNIVERSAL INSURANCE HDG.,UNIVERSAL IN.HDG.INCO.,EQ,XNYS,New York SE,USD,A,True,1992-12-16T00:00:00,
67456,SUNWQ,@SUNWQ,BKS3LF2,SUNWORKS,SUNWORKS INCO.,EQ,EXPM,OTC Expert Mkt,USD,A,True,2006-02-03T00:00:00,
67461,ADK,U:ADK,B0YBZH0,ADCARE HEALTH SYSTEMS DEAD - DELIST.02/10/17,ADCARE HEALTH SYS.INCO.,EQ,,,USD,D,False,2006-12-21T00:00:00,2017-10-02T00:00:00
67462,BMA,U:BMA,B0Y62M9,BANCO MACRO 'B' SPN.ADR 1:10,BANCO MACRO SA,ADR,XNYS,New York SE,USD,A,True,2006-03-24T00:00:00,
67463,RMTR,@RMTR,2446408,RAMTRON INTL. DEAD - ACQD.BY 729375,RAMTRON INTL.CORP.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,D,False,1993-02-16T00:00:00,2012-11-21T00:00:00
67470,MCHP,@MCHP,2592174,MICROCHIP TECH.,MICROCHIP TECH.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1993-03-19T00:00:00,
67473,HGBL,@HGBL,BD6HJQ4,HERITAGE GLOBAL,HERITAGE GLOBAL INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,1993-03-23T00:00:00,
67477,JBL,U:JBL,2471789,JABIL,JABIL INCO.,EQ,XNYS,New York SE,USD,A,True,1993-04-29T00:00:00,
67480,CALB,U:CALB,2220527,CONT.AIRL.B DEAD - DELIST.01/10/10,CONT.AIRL.INCO.,EQ,XNYS,New York SE,USD,D,False,1993-07-14T00:00:00,2010-10-01T00:00:00
67482,XTO,U:XTO,2236911,XTO EN. DEAD - DELIST.08/07/10,XTO EN.INCO.,EQ,XNYS,New York SE,USD,D,False,1993-05-12T00:00:00,2010-06-25T00:00:00
67487,AVXL,@AVXL,BYTYP72,ANAVEX LIFE SCIS.,ANAVEX LIFE SCIS.CORP.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,2006-08-02T00:00:00,
67489,KGC,U:KGC,B04NVW3,KINROSS GOLD (NYS),KINROSS GOLD CORP.,EQ,XNYS,New York SE,USD,A,True,1993-06-04T00:00:00,
67501,INOD,@INOD,2226741,INNODATA,INNODATA INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,1993-08-10T00:00:00,
67502,MAXR,U:MAXR,BF2KYF5,MAXAR TECHNOLOGIES (NYS) DEAD - DELIST.03/05/23,MAXAR TECHS.LTD.,EQ,XNYS,New York SE,USD,D,False,2001-06-26T00:00:00,2023-05-03T00:00:00
67519,MACE,@MACE,2173461,MACE SECURITY INTL. DEAD - DELIST.09/12/24,MACE SCTY.INTL.INCO.,EQ,OTCB,OTC - QB,USD,D,False,1993-11-12T00:00:00,2024-12-09T00:00:00
67526,PLNR,@PLNR,2698481,PLANAR SYSTEMS DEAD - DELIST.30/11/15,PLANAR SYSTEMS INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,D,False,1993-12-16T00:00:00,2015-11-30T00:00:00
67527,UFPT,@UFPT,2908652,UFP TECHNOLOGIES,UFP TECHNOLOGIES INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,1993-12-17T00:00:00,
67528,QVCAQ,@QVCAQ,BVF91W7,QVC GROUP SERIES A DEAD - DELIST.07/08/26,QVC GROUP INCO.,EQ,OTCD,FINRA TDDS - OTCD,USD,D,False,2006-05-04T00:00:00,2026-08-07T00:00:00
67530,OKSB,@OKSB,2829968,SOUTHWEST BANC.OF OK. DEAD - DELIST.20/10/17,SOUTHWEST BANCORP INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1993-12-17T00:00:00,2017-10-20T00:00:00
67533,DIVX,@DIVX,B17W588,DIVX DEAD - DELIST.11/10/10,DIVX INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2006-09-22T00:00:00,2010-10-11T00:00:00
67534,EVR,U:EVR,B1BHXZ2,EVERCORE A,EVERCORE INCO.,EQ,XNYS,New York SE,USD,A,True,2006-08-11T00:00:00,
67541,TFCO,@TFCO,2906753,TUFCO TECHNOLOGIES DEAD - DELIST.25/02/14,TUFCO TECHNOLOGIES INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,D,False,1994-01-21T00:00:00,2014-02-25T00:00:00
67551,MBWM,@MBWM,2620257,MERCANTILE BANK,MERCANTILE BANK CORP.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1997-10-24T00:00:00,
67557,SWC,U:SWC,2810531,STILLWATER MINING DEAD - DELIST.05/05/17,STILLWATER MINING CO.,EQ,XNYS,New York SE,USD,D,False,1994-12-16T00:00:00,2017-05-05T00:00:00
67560,CIZN,@CIZN,2618166,CITIZENS HLDG.,CITIZENS HLDG.CO.,EQ,OTCQ,OTCQX US Prime,USD,A,True,1999-10-19T00:00:00,
67561,ASRV,@ASRV,2906850,AMERISERV FINL.,AMERISERV FINL.INC,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,1984-11-30T00:00:00,
67563,BKR,@BKR,BDHLTQ5,BAKER HUGHES A,BAKER HUGHES COMPANY,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1987-04-06T00:00:00,
67566,IBN,U:IBN,2569286,ICICI BK.ADR 1:2,ICICI BANK LIMITED,ADR,XNYS,New York SE,USD,A,True,2000-03-29T00:00:00,
67571,CREG,@CREG,BT9L040,SMART POWERR,SMART POWERR CORP.,EQ,PINL,OTC Pnk Ltd Info,USD,A,True,2001-06-13T00:00:00,
67574,PTC,@PTC,B95N910,PTC,PTC INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1989-12-06T00:00:00,
67576,VOLT,U:VOLT,2930440,VOLT INFO.SCIENCES DEAD - DELIST.26/04/22,VOLT INFO.SCIS.INCO.,EQ,XASE,NYSE American,USD,D,False,1973-01-02T00:00:00,2022-04-26T00:00:00
67583,KCI,U:KCI,2384553,KINETIC CONCEPTS DEAD - MERGER.930813,KINETIC CONCEPTS INCO.,EQ,XNYS,New York SE,USD,D,False,2004-02-24T00:00:00,2011-11-07T00:00:00
67597,MEI,U:MEI,2583297,METHODE ELTN.,METHODE ELTN.INCO.,EQ,XNYS,New York SE,USD,A,True,1982-09-27T00:00:00,
67604,LSE,U:LSE,B00FXP0,CAPLEASE DEAD - DELIST.06/11/13,CAPLEASE INCO.,EQ,XNYS,New York SE,USD,D,False,2004-03-19T00:00:00,2013-11-06T00:00:00
67610,JRJCY,@JRJCY,BJXD2M4,CHINA FINANCE ONLINE ADR 1:50 DEAD - DELIST.17/06/25,CHINA FIN.ONL.CO.LTD.,ADR,EXPM,OTC Expert Mkt,USD,D,False,2004-10-15T00:00:00,2025-06-17T00:00:00
67617,BDST,@BDST,BZB2K98,BEBE STORES,BEBE STORES INCO.,EQ,PINL,OTC Pnk Ltd Info,USD,A,True,1998-06-17T00:00:00,
67619,SMSMY,@SMSMY,2809744,SIMS ADR 1:1,SIMS LIMITED,ADR,PINL,OTC Pnk Ltd Info,USD,A,True,1995-01-16T00:00:00,
67624,WULF,@WULF,BNBRMS2,TERAWULF,TERAWULF INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,1996-08-22T00:00:00,
67632,BCH,U:BCH,2834252,BANCO DE CHILE ADR 1:200,BANCO DE CHILE,ADR,XNYS,New York SE,USD,A,True,2002-01-08T00:00:00,
67634,RAVN,@RAVN,2725851,RAVEN INDUSTRIES DEAD - DELIST.01/12/21,RAVEN INDUSTRIES INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1973-01-02T00:00:00,2021-12-01T00:00:00
67638,ESIO,@ESIO,2310440,ELECTRO SCIEN.INDS. DEAD - DELIST.04/02/19,ELECTRO SCIEN.INDS.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1983-10-18T00:00:00,2019-02-04T00:00:00
67640,WBS,U:WBS,2945143,WEBSTER FINANCIAL,WEBSTER FINL.CORP.,EQ,XNYS,New York SE,USD,A,True,1986-12-12T00:00:00,
67641,LHO,U:LHO,B1CLYL6,LASALLE HOTEL PROPERTIES DEAD - DELIST.03/12/18,LASALLE HOTEL PROPERTIES,EQ,XNYS,New York SE,USD,D,False,1998-04-24T00:00:00,2018-12-03T00:00:00
67650,SGP,U:SGP,,SCHERING-PLOUGH DEAD - 04/11/09,SCHERING-PLOUGH CORP.,EQ,XNYS,New York SE,USD,D,False,1973-01-02T00:00:00,2009-11-03T00:00:00
67653,BXSY,@BXSY,B8GC8H8,BEXIL INVESTMENT TRUST,BEXIL INVESTMENT TRUST,EQ,OTCD,FINRA TDDS - OTCD,USD,A,True,1998-06-24T00:00:00,
67661,REIS,@REIS,2602062,REIS DEAD - DELIST.16/10/18,REIS INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1997-06-02T00:00:00,2018-10-16T00:00:00
67674,HNNA,@HNNA,2965033,HENNESSY ADVISORS,HENNESSY ADVISORS INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,2002-10-15T00:00:00,
67675,CAA,U:CAA,BYM1V49,CALATLANTIC GROUP DEAD - DELIST.13/02/18,CALATLANTIC GROUP INCO.,EQ,XNYS,New York SE,USD,D,False,1986-12-30T00:00:00,2018-02-13T00:00:00
67681,THC,U:THC,B8DMK08,TENET HEALTHCARE,TENET HEALTHCARE CORP.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
67683,METR,@METR,2433938,METRO BANCORP DEAD - DELIST.16/02/16,METRO BANCORP INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1994-09-01T00:00:00,2016-02-16T00:00:00
67691,CPF,U:CPF,2230946,CENTRAL PAC.FINL.,CENTRAL PAC.FINL.CORP.,EQ,XNYS,New York SE,USD,A,True,1984-07-20T00:00:00,
67702,TPP,U:TPP,2884150,TEPPCO PARTNERS L P DEAD - DELIST.27/10/09,TEPPCO PARTNERS LP.,EQ,XNYS,New York SE,USD,D,False,1990-02-28T00:00:00,2009-10-26T00:00:00
67704,ASX,U:ASX,2646521,ADVANCED SEMICON.ENGR. SPN.ADR 1:5 DEAD - DELIST.18/04/18,ADVD.SEMICON.ENGR.INCO.,ADR,XNYS,New York SE,USD,D,False,2000-10-02T00:00:00,2018-04-18T00:00:00
67705,PNBC,@PNBC,2671073,PRINCETON NAT.BANC.,PRINCETON NAT.BANC.INCO.,EQ,EXPM,OTC Expert Mkt,USD,A,True,1992-05-08T00:00:00,
67718,AIV,U:AIV,BN2W9T6,APARTMENT INV.& MAN.'A',APARTMENT INV.& MAN.CO.,EQ,XNYS,New York SE,USD,A,True,1994-07-22T00:00:00,
67722,VTSI,@VTSI,BFYNPH1,VIRTRA,VIRTRA INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,1997-08-27T00:00:00,
67723,HOTT,@HOTT,2436744,HOT TOPIC DEAD - DELIST.13/06/13,HOT TOPIC INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1996-09-24T00:00:00,2013-06-13T00:00:00
67724,TBV,U:TBV,2975968,TIENS BIOTECH GROUP USA DEAD - DELIST.12/08/11,TIENS BIOT.GP.USA INCO.,EQ,XASE,NYSE American,USD,D,False,2003-05-14T00:00:00,2011-08-12T00:00:00
67732,MSFG,@MSFG,2475156,MAINSOURCE FINL.GP. DEAD - DELIST.02/04/18,MAINSOURCE FINL.GP.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1992-01-03T00:00:00,2018-04-02T00:00:00
67736,ZAZA,@ZAZA,BQ3G9B0,ZAZA ENERGY,ZAZA ENERGY CORP.,EQ,EXPM,OTC Expert Mkt,USD,A,True,1975-01-06T00:00:00,
67744,KRG,U:KRG,BPBSZJ1,KITE REALTY GROUP,KITE REALTY GROUP TST.,EQ,XNYS,New York SE,USD,A,True,2004-08-11T00:00:00,
67746,QUMU,@QUMU,BDX94W4,QUMU DEAD - DELIST.09/02/23,QUMU CORP.,ADR,XNCM,NASDAQ SE Capitl Mkt,USD,D,False,1992-11-05T00:00:00,2023-02-09T00:00:00
67754,TIVO,@TIVO,BD8FFY6,TIVO DEAD - DELIST.02/06/20,TIVO CORP.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1997-03-13T00:00:00,2020-06-02T00:00:00
67756,ZD,@ZD,B75DGJ3,ZIFF DAVIS,ZIFF DAVIS INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1999-07-23T00:00:00,
67757,PPIH,@PPIH,BDD0V60,PERMA-PIPE INTL.HDG.,PERMA-PIPE INTHDG.INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,1989-12-14T00:00:00,
67764,ITUB,U:ITUB,2849739,ITAU UNIBANCO BANCO HLDG.ADR 1:1,ITAU UNIBANCO HOLDING SA,ADR,XNYS,New York SE,USD,A,True,2001-07-02T00:00:00,
67765,CAAS,@CAAS,BPCR5N1,CHINA AUTV.SYS.,CHIN.AUTV.SYS.INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,2003-03-24T00:00:00,
67773,INTU,@INTU,2459020,INTUIT,INTUIT INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1993-03-12T00:00:00,
67777,OTRKQ,@OTRKQ,BP08ZB4,ONTRAK,ONTRAK INCO.,EQ,EXPM,OTC Expert Mkt,USD,A,True,2002-09-27T00:00:00,
67778,FMS,U:FMS,2361448,FRESENIUS MEDICAL CARE ADR 2:1,FMC.AG,ADR,XNYS,New York SE,USD,A,True,1996-09-17T00:00:00,
67780,AEYGQ,@AEYGQ,BNDSDW4,ADDVANTAGE TECHNOLOGIES GROUP,ADDVANTAGE TECHS.GP.INCO,EQ,EXPM,OTC Expert Mkt,USD,A,True,1991-08-27T00:00:00,
67782,PYE,U:PYE,2332187,PPLUS TST.SR.CSF-1 CERTS.'A' DEAD - DELIST.15/07/10,MRLY.DEPOSITOR INCO.,EQ,XNYS,New York SE,USD,D,False,2003-08-22T00:00:00,2010-07-13T00:00:00
67786,QMCO,@QMCO,BS55DW8,QUANTUM,QUANTUM CORP.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,1999-07-26T00:00:00,
67787,FFHS,@FFHS,2355980,FIRST FRANKLIN DEAD - DELIST.17/03/11,FIRST FRANKLIN CORP.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,D,False,1988-01-26T00:00:00,2011-03-17T00:00:00
67789,KS,U:KS,B0L2NP0,KAPSTONE PAPER & PACK. DEAD - DELIST.05/11/18,KSTN.PAPR.& PACK.CORP.,EQ,XNYS,New York SE,USD,D,False,2005-09-14T00:00:00,2018-11-05T00:00:00
67798,CGX,U:CGX,2222772,CONS.GRAPHICS DEAD - DELIST.03/02/14,CONS.GRAPHICS INCO.,EQ,XNYS,New York SE,USD,D,False,1994-06-10T00:00:00,2014-02-03T00:00:00
67811,FGH,U:FGH,BM92099,FG GROUP HOLDINGS (ASE) DEAD - DELIST.01/03/24,BALLANTYNE STRONG INCO.,EQ,XASE,NYSE American,USD,D,False,1995-09-07T00:00:00,2024-03-01T00:00:00
67815,SLAB,@SLAB,2568131,SILICON LABS.,SCN.LABS.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,2000-03-24T00:00:00,
67828,DVCR,@DVCR,B9G6640,DIVERSICARE HEALTHCARE SERVICES DEAD - DELIST.23/11/21,DIVERSICARE HLTHCR.SVS.,EQ,OTCQ,OTCQX US Prime,USD,D,False,1994-05-10T00:00:00,2021-11-23T00:00:00
67831,CYPB,@CYPB,2740605,CYPRESS BIOSCIENCE DEAD - DELIST 14/01/11,CYPRESS BIOSCIENCE INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1984-01-11T00:00:00,2011-01-14T00:00:00
67838,EBMT,@EBMT,B57M9P1,EAGLE BANCORP MNTA.,EAGLE BANCORP MNTA.INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,2000-04-05T00:00:00,
67840,CPWR,@CPWR,2220884,COMPUWARE DEAD - DELIST.16/12/14,COMPUWARE CORP.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1992-12-16T00:00:00,2014-12-16T00:00:00
67847,SLP,@SLP,2122560,SIMULATIONS PLUS,SIMULATIONS PLUS INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1997-06-18T00:00:00,
67852,COHR,@COHR,2208374,COHERENT DEAD - DELIST.05/07/22,COHERENT INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1973-01-02T00:00:00,2022-07-05T00:00:00
67855,CCI,U:CCI,BTGQCX1,CROWN CASTLE,CROWN CASTLE INCO.,EQ,XNYS,New York SE,USD,A,True,1998-08-18T00:00:00,
67867,AZN,@AZN,2989044,ASTRAZENECA ADR 2:1(NAS) DEAD - DELIST.02/02/26,ASTRAZENECA PLC.,ADR,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1993-05-12T00:00:00,2026-02-02T00:00:00
67872,HILL,@HILL,2106069,DOT HILL SYS. DEAD - DELIST.07/10/15,DOT HILL SYS.CORP.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,D,False,1997-09-17T00:00:00,2015-10-07T00:00:00
67875,UTRA,@UTRA,B07T3N3,UNIVERSAL TRAVEL GROUP DEAD - DELIST.27/09/13,UNIVERSAL TRAVEL GROUP,EQ,PINL,OTC Pnk Limited Info,USD,D,False,2006-04-18T00:00:00,2013-09-27T00:00:00
67881,AMS,U:AMS,2029359,AMER.SHARED HOSP.SVS.,AMER.SHARED HOSP.SVS.,EQ,XASE,NYSE American,USD,A,True,1984-07-03T00:00:00,
67886,RIBT,@RIBT,BL6JK30,RICEBRAN TECHNOLOGIES,RICEBRAN TECHNOLOGIES,EQ,EXPM,OTC Expert Mkt,USD,A,True,1998-09-21T00:00:00,
67887,BBNK,@BBNK,2763475,BRIDGE CAP.HDG. DEAD - ACQD.BY 30915C,BRIDGE CAP.HDG.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2001-06-05T00:00:00,2015-07-01T00:00:00
67888,GSOL,@GSOL,2576521,GLOBAL SOURCES DEAD - DELIST.29/08/17,GLOBAL SOURCES LTD.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2000-04-17T00:00:00,2017-08-29T00:00:00
67889,LMLP,@LMLP,2302942,LML PAYMENT SYSTEMS DEAD - ACQD.BY 687167,LML PAYMENT SYS.INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,D,False,1982-09-30T00:00:00,2013-01-22T00:00:00
67890,FORM,@FORM,2891826,FORMFACTOR,FORMFACTOR INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,2003-06-12T00:00:00,
67894,GFN,@GFN,B16P748,GENERAL FINANCE DEAD - DELIST.26/05/21,GENERAL FINANCE CORP.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,D,False,2006-06-13T00:00:00,2021-05-26T00:00:00
67900,XPRT,@XPRT,2122452,LECG DEAD - DELIST.15/01/15,LECG CORP.,EQ,PINI,OTC Pink No Info,USD,D,False,2003-11-14T00:00:00,2015-01-15T00:00:00
67910,BXC,U:BXC,BYQLZ65,BLUELINX HOLDINGS,BLUELINX HOLDINGS INCO.,EQ,XNYS,New York SE,USD,A,True,2004-12-14T00:00:00,
67927,AUBN,@AUBN,2647256,AUBURN NAT.BANCORP.,AUBURN NAT.BANCORP.INC,EQ,XNMS,NASDAQ SE Glb Mkt,USD,A,True,1999-09-07T00:00:00,
67931,UTMD,@UTMD,2925899,UTAH MEDICAL PRODUCTS,UTAH MEDICAL PRDS.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1982-12-01T00:00:00,
67933,QCCO,@QCCO,B01XZS0,QC HOLDINGS DEAD - DELIST.30/06/25,QC HOLDINGS INCO.,EQ,PINL,OTC Pnk Ltd Info,USD,D,False,2004-07-16T00:00:00,2025-06-30T00:00:00
67934,NEN,U:NEN,2555508,NENG.REAL.ASSOCS. (ASE) DEPOSITORY RCPTS.A,NENG.REALTY ASSOCS.LP.,EQ,XASE,NYSE American,USD,A,True,1987-11-19T00:00:00,
67941,PVCT,@PVCT,BJ7C0X4,PROVECTUS BIOPH.,PROVECTUS BIOPH.INCO.,EQ,OTCB,OTC - QB,USD,A,True,1999-09-13T00:00:00,
67942,FOSL,@FOSL,BBGT609,FOSSIL GROUP,FOSSIL GROUP INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1993-04-12T00:00:00,
67943,ISBA,@ISBA,2521941,ISABELLA BANK,ISABELLA BANK CORP.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,2003-01-30T00:00:00,
67948,SOHU,@SOHU,BF2HB11,SOHU COM ADR 1:1,SOHU COM LTD.,ADR,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,2000-07-12T00:00:00,
67950,FPO,U:FPO,2041450,FIRST POTOMAC REAL.TST. DEAD - DELIST.02/10/17,FIRST POTOMAC REAL.TST.,EQ,XNYS,New York SE,USD,D,False,2003-10-23T00:00:00,2017-10-02T00:00:00
67951,CPLA,@CPLA,B0GWDP5,CAPELLA EDUCATION DEAD - DELIST.01/08/18,CAPELLA EDUCATION CO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2006-11-10T00:00:00,2018-08-01T00:00:00
67953,URZ,U:URZ,B011153,URANERZ ENERGY DEAD - DELIST.19/06/15,URANERZ ENERGY CORP.,EQ,XASE,NYSE American,USD,D,False,2004-05-06T00:00:00,2015-06-19T00:00:00
67965,RTKHQ,@RTKHQ,BYXMWS2,RENTECH DEAD - DELIST.18/04/18,RENTECH INCO.,EQ,PINI,OTC Pink No Info,USD,D,False,1991-04-18T00:00:00,2018-04-18T00:00:00
67975,ADTN,@ADTN,BPLJ828,ADTRAN HOLDINGS,ADTRAN HOLDINGS INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1994-08-10T00:00:00,
67980,PNC,U:PNC,2692665,PNC FINL.SVS.GP.,THE PNC FNSR.GP.INCO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
67981,EXTR,@EXTR,2407052,EXTREME NETWORKS,EXTREME NETWORKS INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1999-04-09T00:00:00,
67986,XEL,@XEL,2614807,XCEL ENERGY,XCEL ENERGY INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1973-01-02T00:00:00,
67988,DCP,U:DCP,B0WHT89,DYNCORP INTL.CL.A DEAD - DELIST.08/07/10,DYNCORP INTL.INCO.,EQ,XNYS,New York SE,USD,D,False,2006-05-04T00:00:00,2010-07-07T00:00:00
67990,AROPQ,@AROPQ,BF956H9,ARO LIQUIDATION DEAD - DELIST.18/04/18,AEROPOSTALE INCO.,EQ,PINL,OTC Pnk Limited Info,USD,D,False,2002-05-16T00:00:00,2018-04-18T00:00:00
67995,PAY,U:PAY,B07RH68,VERIFONE SYSTEMS DEAD - DELIST.21/08/18,VERIFONE SYSTEMS INCO.,EQ,XNYS,New York SE,USD,D,False,2005-04-29T00:00:00,2018-08-21T00:00:00
67997,CBDBY,@CBDBY,BHNCDX5,CMPBRA.DE DISTB.ADR(OTC) 1:1 DEAD - DELIST.26/12/25,CMPBRA.DE DISTB.SA,ADR,PINL,OTC Pnk Ltd Info,USD,D,False,1996-06-13T00:00:00,2025-12-26T00:00:00
67999,ANNB,@ANNB,2586780,ANNAPOLIS BANC. DEAD - ACQD.BY 945268,ANNAPOLIS BANC.INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,D,False,1997-10-01T00:00:00,2013-04-15T00:00:00
