ticker,infocode,quantity
HLT,270062,3
AMC,270171,-2245
AUGO,270662,-18
AUPH,270767,642
CRH,270878,-57
GLXY,271295,-6
POET,272269,199
NB,272789,2057
OGS,273566,1
ALLY,273772,167
RARE,273831,-136
QURE,273879,537
LADR,273892,42
IBP,274008,-36
KN,274033,171
IVT,274120,84
VRNS,274211,-185
GOLD,274681,-196
PCTY,274736,84
QTWO,274778,74
BLBD,274779,27
ATEN,274808,-99
TNET,274898,-69
OUT,274924,-40
MGNI,274996,41
PAHC,275185,-108
PAYC,275224,-21
MC,275245,-13
NAVI,275280,456
WB,275281,-696
ARES,275485,-34
LPG,275595,-3
SFBS,275908,11
DNOW,276039,883
JD,276083,-71
CTRE,276215,-56
ANET,276380,-11
VRDN,276566,153
VNOM,276567,-178
CCS,276573,-137
ARDX,276609,-140
AMPH,276709,255
DBRG,276766,541
XIFR,276767,304
CDNA,277212,1
GLOB,277225,-106
TRUP,277226,-189
WMS,277331,-56
OCUL,277335,-396
SYF,277423,45
HQY,277431,114
LMB,277585,-98
VVX,278145,-235
NOMD,278176,25
BABA,278225,-4
CZR,278243,341
CFG,278295,0
W,278431,-125
AAMI,278567,24
HUBS,278571,9
KEYS,278788,7
ENVA,279021,6
BOOT,279022,48
LBRDA,279107,318
XENE,279126,-23
FRPT,279180,-87
TFIN,279182,122
AXTA,279267,-42
QSR,279836,35
MOMO,279859,-1153
HAPN,279862,-15
WK,279902,-115
INDV,280197,-2338
QRVO,280248,-180
PVLA,280249,-46
UE,280257,-88
BOX,280550,-117
ASND,280623,-6
SHAK,280665,8
ATEX,280684,50
XHR,280696,-253
DEA,280752,-199
SMMT,281262,570
NXRT,281545,-314
SEDG,281669,418
GDDY,281809,1559
BRSL,281861,155
VIRT,282039,109
ETSY,282040,31
ZVRA,282041,1328
UNIT,282101,-155
VKTX,282300,-126
BSM,282343,384
COLL,282449,19
FTAI,282602,0
CWEN,282606,87
APLE,282629,-39
SHOP,282712,-132
GNL,283365,292
NEXT,283427,1708
WING,283583,30
ENR,283589,-88
BW,283661,326
CC,283713,422
GKOS,283851,-28
TRU,283856,-103
LNTH,283857,-136
APPF,283887,30
ALRM,283890,-389
TDOC,284029,-3716
KHC,284106,-86
PYPL,284109,-11
OLLI,284411,197
LOB,284500,-113
LITE,284524,-2
NTRA,284546,18
IBRX,284584,1510
RUN,284799,1265
PLNT,284815,114
HLI,284902,-83
KURA,285293,405
MSGS,285308,14
PEN,285325,3
PJT,285376,20
CSW,285509,8
SGRY,285534,-161
PFGC,285536,-3
NVCR,285557,-869
P,285614,19
CTMX,285632,597
HPE,285790,92
RACE,285828,-29
FCPT,285982,61
WSC,286133,-16
WVE,286253,-2254
AVTX,286315,-264
MTCH,286451,-44
AXSM,286452,-36
XYZ,286465,-83
TEAM,286883,-12
GSM,287143,385
SNDX,288606,80
CRVS,289030,112
SYRE,289138,-34
PR,289247,-430
RRR,289530,477
NGVT,289745,75
NTLA,289873,31
TPB,289972,-117
SITE,290022,-65
USFD,290278,19
ATKR,290557,21
FTV,290589,-1061
TWLO,290899,10
PI,291621,26
KNSL,291757,19
FHB,291872,291
PTGX,292017,47
MEDP,292018,-67
DELL,292097,9
AMR,292443,-37
FBK,292620,66
NTB,292621,63
TTD,292693,-137
ELF,292713,-91
VVV,292741,21
NTNX,292862,-125
DFIN,292885,-167
VST,292895,-30
CWH,292971,1238
ADNT,293141,0
YUMC,293142,43
CRSP,293228,159
IRTC,293261,-27
ZTO,293384,2579
GOLF,293433,-27
BL,293436,27
AA,293452,62
LW,293499,-75
DFTX,293733,81
INSW,293756,3
IIPR,294014,95
PK,294227,16
ICHR,294251,35
HGV,294252,-236
FTI,294908,91
ANAB,295151,309
LAUR,295239,61
INVH,295240,300
KRP,295272,-385
METC,295277,127
HLNE,295748,-69
SNAP,295761,-859
PUMP,296076,-776
VRRM,296242,4125
BTU,296497,-674
HESM,296509,65
SNDR,296542,304
OKTA,296581,16
HCC,296684,10
WTTR,296823,416
FND,296918,49
CVNA,296935,-57
ZYME,296936,131
KNTK,296977,9
URGN,297018,-158
AM,297021,219
IR,297220,-31
SEI,297221,137
CARS,297324,-2678
PENG,297580,203
APPN,297582,125
NESR,297733,-84
MGY,298339,1634
JBGS,298509,-97
SMPL,298592,613
BHF,298778,159
DD,299592,-42
KNX,299724,147
CELC,300198,120
KRYS,300199,-5
ZLAB,300200,128
ROKU,300460,88
ECVT,300477,207
RYTM,300674,-36
APG,300827,125
CARG,300938,-208
VICI,301143,-8
SE,301222,-504
MDB,301251,-7
EYE,301383,279
MBIN,301416,702
ACMR,301600,56
FINV,301813,-417
BAND,301816,380
CNR,301890,-25
OSW,301999,-381
CNNE,302018,-481
DNLI,302549,-114
FLNG,302550,-191
NMRK,302961,-372
LILA,303340,175
LBRT,303526,-5521
COLD,303838,138
ADT,303840,1342
PAGS,303930,-244
GTES,303958,297
VCTR,304230,-78
WHD,304236,52
TH,304724,887
HYMC,304768,-229
RCUS,304839,352
ZS,304874,7
DBX,305109,-129
BILI,305229,-253
IQ,305265,-13607
COGT,305272,-179
SPOT,305321,-38
NVT,305737,33
DOCU,305959,-37
GSHD,305960,-16
LASR,305965,117
INSP,306021,150
ROAD,306055,43
TALO,306200,-70
EQH,306206,-349
WH,306417,43
BORR,306450,-4258
AHCO,306507,765
SRRK,306508,-88
KNSA,306510,56
XERS,307092,-185
DNTH,307093,39
IIIV,307095,-331
EPRT,307096,-174
CBC,307225,152
EVER,307264,-71
BV,307266,-208
BJ,307273,35
SGML,307386,1
CCB,307733,-46
CRNX,307735,110
ESTA,307782,7
TLRY,307784,1448
BE,307899,71
TENB,307923,455
PDD,307925,-40
LQDA,307931,-130
VRT,307978,-71
OPRA,308012,-494
SONO,308040,-1494
CWK,308055,-125
ARLO,308068,441
NIO,308617,885
FTDR,308686,-19
GTX,308747,513
ELAN,308822,2
ARVN,308945,-134
UPWK,309036,-1253
KOD,309061,-120
GH,309066,81
ESTC,309093,367
ALLO,309183,10769
REZI,312270,-307
ONDS,312434,404
YETI,312437,-180
STNE,312438,307
CLVT,312486,-3434
ACA,312511,68
GDYN,312514,-321
LIN,312525,7
TWST,312538,114
UTZ,313647,-282
MRNA,313919,85
TME,314005,-80
QFIN,314059,0
FUTU,315465,-25
FOXA,315531,84
DOW,315715,421
TIGR,315716,-552
LEVI,315739,-329
LYFT,315894,-454
TW,316011,-118
PD,316146,21
JMIA,316171,-729
PLMR,316243,-39
ZM,316273,-11
PINS,316279,-153
HYLN,316297,3212
TMDX,316524,-36
TRVI,316636,1480
PSN,316677,5610
KTB,316708,-155
UBER,316725,-103
AVTR,316880,99
FSLY,316881,-69
IDYA,316988,90
CTVA,317025,-223
RVLV,317296,-83
AMCR,317354,-235
CRWD,317383,-47
CHWY,317431,266
STOK,317546,-265
GO,317576,644
PSNL,317619,1191
IMVT,317624,125
BSTZ,317738,-48
BBIO,317756,27
ADPT,317764,-4
REAL,317806,83
MIRM,318283,-80
PHR,318285,-135
AFYA,318322,594
DKNG,318490,203
CSTL,318491,773
KRUS,318634,4
DT,318639,32
INMD,318749,-118
TXG,319245,95
HIMS,319263,135
NET,319272,-24
NVST,319338,-109
DDOG,319362,2
PTON,319614,-1991
INDI,319809,-578
BNTX,319883,23
VIR,319898,996
BRBR,320043,-7
BWIN,320171,-17
PHAT,320203,-4122
PGNY,320204,288
AVPT,320320,-411
ASTS,320357,-25
SITM,320816,7
XP,321294,365
BILL,321378,-243
BKSY,321600,175
JBI,321601,-798
WFRD,321623,-72
TE,321925,-3023
PRCH,321953,427
REYN,322747,-76
ARQT,322748,171
SDGR,322908,-125
BEAM,322910,106
RVMD,323127,21
AEVA,323456,1151
ELVN,324138,60
OTIS,324434,128
CARR,324435,-60
UWMC,324609,-1618
BIPC,324772,-215
SPHR,324941,-9
RSI,325214,-139
ORIC,325251,-687
KC,325566,-24
WMG,326321,-257
EOSE,326322,1551
GTM,326420,-2511
FOUR,326472,-286
LEGN,326480,704
PCVX,326618,8
RPRX,326752,202
CLOV,326845,2085
OPEN,326909,919
MP,326923,39
TMC,327035,50
ACI,327038,525
LMND,327193,-21
BFLY,327455,-1172
PCT,327498,1069
NCNO,327499,-226
RLAY,327574,280
ONT,327814,244
NRIX,327959,-55
ANNX,327960,3146
BEPC,327968,82
VERX,328318,145
RKT,328520,-537
IRON,328899,-10
NTST,328948,1421
BEKE,328971,-365
QS,328989,1749
HRMY,329074,174
MIR,329088,-576
KYMR,329184,38
NUVB,329236,-1875
TNGX,329402,381
STEP,329700,-157
FROG,329703,182
SNOW,329706,0
DYN,329744,280
BNL,329750,-481
U,329822,2968
LCID,329823,-401
CMPS,329825,416
EVLV,329911,97
CRSR,329944,355
GDRX,329951,-2939
BSY,329954,-12
TSHA,329999,2195
VNT,330011,140
AMBP,330162,493
PLTR,330201,-50
ASAN,330202,-604
AVO,330258,-216
IMNM,330328,-239
ASO,330341,-19
GENI,330366,-2138
CCC,330367,1210
OUST,330512,330
ARRY,330705,69
MNSO,330706,413
EBC,330711,-352
PRAX,330733,39
TARS,330736,169
PAYO,330737,-1460
MLTX,330814,364
ROOT,331154,255
CRC,331157,-107
ALGM,331212,-926
LU,331258,-6919
NN,331316,-477
SPIR,331372,421
WGS,331412,382
CLBT,331479,-594
JOBY,331525,1267
OLMA,331834,166
GPGI,331836,-286
PWP,331885,-157
CHRD,331887,-38
SHC,331888,129
OPFI,331889,-1326
EVGO,331890,-15689
GBTG,331926,-925
SGHC,331927,-337
RKLB,331979,56
CNXC,331996,-185
SOFI,332157,-131
GRAB,332227,-2493
HLMN,332335,-853
SPRY,332372,1535
CIFR,332424,225
ROIV,332513,11
SMR,332573,992
AI,332579,-274
DASH,332580,30
ABNB,332643,14
CERT,332697,-47
QBTS,332702,-408
ABCL,332707,4032
OWL,332857,-1040
UPST,332999,33
ACHR,333125,-1946
IONQ,333614,198
ENVX,333683,1738
CGEM,333943,368
AFRM,334098,-57
RDW,334153,207
GRND,334154,-747
WOOF,334163,2220
PLTK,334218,2297
DRVN,334219,803
DFH,334503,-1637
RLX,334534,2249
NVTS,334590,-320
SHLS,334750,1219
PAX,334784,-463
ZIM,334815,-142
TRIN,334872,-370
SANA,335123,-1222
IMCR,335199,379
NAMS,335266,123
EXE,335377,88
OSCR,336272,-1851
SYM,336621,230
GROY,336622,-1912
RBLX,336684,-635
CPNG,336737,515
HAYW,336813,-125
TUYA,337152,373
ACVA,337372,-2337
DOCN,337375,56
SATL,337512,751
ALHC,337513,-729
EWTX,337515,-88
TDUP,337517,1404
NRGV,337579,64
COUR,337733,-2531
COMP,337804,-1216
ULCC,337830,618
BBAI,337852,-1484
COIN,338306,-92
RUM,338318,-35
ALKT,338320,3782
AGL,338363,-1224
APP,338364,-1
RXRX,338416,-5903
SOC,338481,3104
PGY,338649,588
DV,338653,848
RGTI,338708,192
DAVE,338812,-33
PL,338818,-202
AVAH,338982,43
PRVA,338985,204
VAL,339106,-66
AUR,339463,581
GLBE,339573,118
VERA,339677,853
PSNY,339762,-64
SLDP,339767,2933
GPOR,339786,26
FLYW,340085,5857
PAY,340097,95
FIGS,340199,-450
OGN,340432,-395
DLO,340460,-942
NE,340640,5868
MQ,340644,601
ZETA,340696,115
MNDY,340698,-111
LFST,340699,-339
JANX,340754,564
BZ,340757,32
ATAI,341208,4023
YMM,341326,-571
CXM,341384,-1097
FA,341387,-920
DOCS,341431,-602
GLUE,341434,-2982
XMTR,341660,116
YOU,341661,31
S,341662,-74
INTA,341663,161
JBIO,341664,141
LZ,341692,-2132
DNUT,341740,3709
OKLO,341999,-110
PECO,342309,212
ERAS,342349,-74
STVN,342359,-1937
NABL,342467,3243
VTEX,342520,-895
RYAN,342566,74
ABSI,342573,2536
CNM,342630,223
CADL,342723,-85
BTDR,342770,-1028
DUOL,342772,-38
HOOD,342820,2
DOLE,342877,-1541
GXO,342915,-95
VSXY,342937,-31
SRAD,344199,-804
TYRA,344245,962
ONON,344246,-205
BROS,344247,9
PRCT,344249,1216
TOST,344507,196
FRSH,344512,-408
RELY,344567,213
AMPL,344713,675
WRBY,344770,116
DJT,344842,688
SLVM,344915,134
FWRG,344920,635
LTH,345187,68
IHS,345366,-2687
GTLB,345369,342
COCO,345615,111
AIP,345800,163
KD,345824,1087
GFS,345849,153
FLNC,345850,1804
FBRT,345951,815
ARHS,346113,-1125
NRDS,346115,35
CDRE,346158,-350
PRM,346373,-1583
RIVN,346408,317
RZLV,346421,673
BLZE,346493,-118
LUNR,347764,39
BRZE,347771,-25
IREN,347773,40
SG,347878,869
CRGY,348774,-936
IOT,349257,-163
ZGN,349540,-548
SHAZ,349778,-16
AMLX,350129,-725
TPG,350311,2015
CEG,350459,-10
CRDO,350719,41
CRML,352061,-1747
LION,352733,332
EE,353971,217
SOUN,354493,-2601
BLTE,354518,37
ACDC,354767,-2317
INTR,355698,-1494
IE,355809,-143
BULL,357118,237
GCT,357126,-8
CRBG,357766,154
AMPX,357770,1064
BHVN,358205,-1117
PRME,358708,1670
MBLY,358837,211
RXO,358930,160
ASPI,359120,-1617
ATAT,359145,14
FG,359692,252
MBC,360035,-978
GEHC,360151,-133
SKWD,360681,20
VTS,360739,-108
ASST,361071,-1685
GPCR,361072,204
HSAI,361194,133
NXT,361195,-46
MLYS,361212,-261
AESI,361732,541
CR,363049,28
MSGE,363621,252
KVUE,363882,-158
LAES,364326,-3689
ATMU,364383,-227
KNF,364488,98
TLN,364519,17
CAVA,364783,-968
FTRE,364985,307
SVV,365179,-973
PLGO,365180,414
KGS,365181,493
PHIN,365304,-391
APGE,365577,-27
USAR,365644,610
SN,365930,-111
DBD,366217,86
ARM,366834,-3
CART,366971,-1044
KVYO,367002,-68
VSTS,367252,92
VLTO,367253,-63
BIRK,367496,-415
NATL,367599,91
HG,368279,-306
WS,369200,467
TIC,369880,-2097
MSDL,370353,-531
CORZ,370363,-183
CGON,370390,-2
BTSG,370423,-404
AS,370522,6799
AHR,370643,-200
TBBB,370690,-42
UMAC,371064,-119
ALAB,371480,105
RDDT,371512,415
SOLV,371731,35
GEV,371776,11
PACS,371969,-48
ULS,371995,-51
CTRI,372117,1167
MRX,372293,153
RBRK,372302,96
LOAR,372303,-57
VIK,372423,1
NNE,372583,-9
BOW,372909,19
INBX,373124,137
LIF,373282,-288
WAY,373314,-347
RAPP,373317,0
TEM,373454,237
GRAL,373667,-485
ALMS,373821,326
LB,373835,-38
CON,374561,644
LINE,374571,126
MBX,375687,-156
ZBIO,375697,250
BKV,376033,-137
GRDN,376036,85
AMTM,376130,347
CURB,376149,32
SARO,376205,5
IMSR,376415,-1236
INGM,376716,306
WRD,376760,1248
ECG,376909,140
PONY,377605,-1919
TTAN,378032,133
BRUN,378473,-59
FLOC,378825,98
MRP,378859,182
VG,379038,586
SFD,379074,145
MAZE,379200,143
TTAM,379423,-780
SION,379425,594
KRMN,379598,-8
SAIL,379631,295
SNDK,379905,-7
RHLD,380064,-24
CRWV,380955,77
NMAX,380996,598
SMA,381058,9
CHA,381468,435
HNGE,382748,162
MNTN,382749,44
CRCL,383210,70
OMDA,383248,567
VOYG,383363,-70
OTF,383407,-1164
CHYM,383421,274
JBS,383443,-6431
CAI,383602,-308
SLDE,383605,997
AMRZ,383854,-2167
RAL,384028,310
INFQ,384367,-240
NIQ,384969,167
AMBQ,385159,63
FIG,385213,-2290
FLY,385445,-225
WYFI,385448,-89
HTFL,385482,36
BLSH,385602,133
MIAX,385635,157
KLAR,386603,-568
FIGR,386669,144
LGN,386700,261
VIA,386701,-66
GEMI,386711,-1164
STUB,386899,245
WBI,386900,167
NTSK,386955,-446
PTRN,387014,-423
NP,387533,-104
FRMI,387563,-25
WOLF,387887,454
ALH,387915,95
MPLT,388587,-567
NAVN,388715,-43
SOLS,388717,400
Q,388803,102
BETA,388873,65
BLLN,389013,-21
PURR,390033,-991
CDNL,390348,26
WLTH,390510,38
LLYVA,390650,-118
MDLN,390681,-162
ANDG,390686,-48
VSNT,391245,-109
EQPT,392065,-88
YSS,392199,-73
MANE,392428,-88
BOBS,392465,-228
FPS,392466,-36
OFRM,392529,-205
MWH,392726,-27
